epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.76917,0.91208,2.99491,1.10995,1,0.12192,0.90369,0.76718,0.54588,2.50281,0.77816,0.00028339,0.00028339,0.00028339
2,5.15174,0.88351,1.93869,1.07251,0.9323,0.28715,0.81183,0.67321,0.60717,2.38629,0.80492,0.000571898,0.000571898,0.000571898
3,7.52242,0.92302,1.73861,1.07268,1,0.30639,0.83814,0.69079,0.66734,2.57886,0.85464,0.000848523,0.000848523,0.000848523
4,9.85218,0.89527,1.65031,1.08605,0.8158,0.55378,0.6355,0.52451,0.68844,1.94521,0.85962,0.00111327,0.00111327,0.00111327
5,12.2595,0.87319,1.54098,1.06226,0.79634,0.58333,0.74831,0.57975,0.72505,1.62091,0.85774,0.00136613,0.00136613,0.00136613
6,14.5678,0.9182,1.54039,1.11433,0.77807,0.72917,0.81491,0.61713,0.73249,1.52571,0.93913,0.00150197,0.00150197,0.00150197
7,16.891,0.9086,1.41053,1.08423,0.57984,0.89583,0.76395,0.58942,0.77473,1.6964,0.88889,0.00146896,0.00146896,0.00146896
8,19.2247,0.89247,1.31746,1.06142,0.71809,0.58375,0.73494,0.58696,0.72678,2.09637,0.89677,0.00143595,0.00143595,0.00143595
9,21.55,0.84833,1.23719,1.06243,0.86049,0.89952,0.91635,0.79572,0.58993,1.17533,0.87025,0.00140295,0.00140295,0.00140295
10,23.8849,0.81335,1.18517,1.02554,0.98738,0.97917,0.97507,0.82094,0.61022,0.79958,0.89244,0.00136994,0.00136994,0.00136994
11,26.2117,0.81652,1.13209,1.04655,0.95899,0.97436,0.9657,0.8424,0.54518,0.78268,0.87683,0.00133693,0.00133693,0.00133693
12,28.5584,0.79677,1.04865,1.02915,0.95635,0.91298,0.96084,0.80797,0.60711,0.77789,0.91003,0.00130393,0.00130393,0.00130393
13,30.8672,0.80271,1.05219,1.04273,0.97759,0.9375,0.96835,0.85205,0.52523,0.74555,0.88927,0.00127092,0.00127092,0.00127092
14,33.2944,0.79744,1.02724,1.0427,0.97772,0.91438,0.95455,0.79742,0.59385,0.71443,0.88222,0.00123791,0.00123791,0.00123791
15,35.6302,0.76116,0.99065,1.03395,0.97435,0.89583,0.95224,0.84801,0.51502,0.62417,0.85709,0.00120491,0.00120491,0.00120491
16,37.9803,0.77648,0.9735,1.04986,0.97652,0.95833,0.97385,0.87796,0.47339,0.50554,0.84932,0.0011719,0.0011719,0.0011719
17,40.3069,0.77763,0.93471,1.02802,0.97722,0.97917,0.97468,0.87371,0.51733,0.49859,0.88195,0.00113889,0.00113889,0.00113889
18,42.6405,0.73276,0.92512,1.02181,0.97563,0.97917,0.97426,0.88529,0.44212,0.49314,0.8518,0.00110589,0.00110589,0.00110589
19,45.0062,0.7468,0.89959,1.01949,0.97648,0.97917,0.97429,0.89288,0.45485,0.41421,0.85252,0.00107288,0.00107288,0.00107288
20,47.3477,0.74239,0.8368,1.01366,0.99783,0.97917,0.97514,0.86805,0.49549,0.42663,0.8683,0.00103987,0.00103987,0.00103987
21,49.6773,0.69323,0.82119,0.98818,0.99774,0.97917,0.97514,0.87989,0.45662,0.42174,0.87027,0.00100687,0.00100687,0.00100687
22,52.0206,0.69324,0.87139,0.98023,1,0.97753,0.97513,0.89619,0.42998,0.41728,0.859,0.000973861,0.000973861,0.000973861
23,54.3518,0.66066,0.77784,0.95766,0.9774,0.97917,0.97474,0.90399,0.41297,0.37792,0.83374,0.000940855,0.000940855,0.000940855
24,56.7855,0.63817,0.74807,0.95389,0.99904,0.95833,0.97,0.8748,0.43227,0.38124,0.84935,0.000907848,0.000907848,0.000907848
25,59.1088,0.60632,0.74612,0.94168,1,0.97734,0.97585,0.88964,0.47776,0.37759,0.84598,0.000874842,0.000874842,0.000874842
26,61.4511,0.62847,0.79819,0.97473,0.99953,0.97917,0.9753,0.92576,0.40272,0.42042,0.82785,0.000841835,0.000841835,0.000841835
27,63.7819,0.60907,0.69261,0.96859,0.99734,0.97917,0.97519,0.91233,0.38708,0.3422,0.82275,0.000808828,0.000808828,0.000808828
28,66.1194,0.62845,0.7219,0.96579,0.99668,0.97917,0.97516,0.91864,0.38409,0.35233,0.83167,0.000775822,0.000775822,0.000775822
29,68.4428,0.62135,0.71767,0.95484,0.99766,0.97917,0.97519,0.91826,0.36162,0.34692,0.82364,0.000742815,0.000742815,0.000742815
30,70.7825,0.57741,0.65519,0.94384,0.99813,0.97917,0.97523,0.94266,0.3428,0.34071,0.8239,0.000709809,0.000709809,0.000709809
31,73.1102,0.61167,0.74282,0.97971,0.95776,0.97917,0.97418,0.92157,0.37003,0.34936,0.83322,0.000676802,0.000676802,0.000676802
32,75.4568,0.56512,0.65742,0.93838,0.98956,0.95833,0.98391,0.90204,0.38293,0.34499,0.83589,0.000643795,0.000643795,0.000643795
33,77.8745,0.60111,0.68017,0.94789,0.99805,0.97917,0.98521,0.92085,0.36484,0.36182,0.82406,0.000610789,0.000610789,0.000610789
34,80.1949,0.56428,0.66514,0.9235,0.99722,0.95833,0.97537,0.91501,0.38572,0.3443,0.82329,0.000577782,0.000577782,0.000577782
